 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25
55,24.295,23.573,26.363,29.851,29.068,23.538,25.135,25.679,27.926,20.756,29.134,18.822,23.850,19.252,40.117,24.937,24.814,22.701,25.937,21.830,27.478,28.081,23.180,23.534,25.337
56,24.315,23.608,26.405,29.876,29.156,23.590,25.192,25.718,27.994,20.765,29.171,18.853,23.944,19.293,40.199,24.924,24.837,22.709,26.019,21.876,27.500,28.136,23.227,23.599,25.385
57,24.328,23.642,26.366,29.902,29.129,23.580,25.154,25.675,27.938,20.607,29.180,18.877,23.910,19.287,40.234,24.899,24.831,22.660,25.975,21.871,27.496,28.129,23.272,23.600,25.392
58,24.339,23.632,26.445,29.895,29.117,23.612,25.185,25.698,27.956,20.544,29.179,18.872,23.873,19.329,40.266,24.914,24.836,22.595,25.983,21.873,27.491,28.148,23.258,23.589,25.433
59,24.368,23.669,26.454,29.936,29.127,23.598,25.215,25.715,27.984,20.699,29.192,18.879,23.940,19.311,40.318,24.941,24.854,22.644,26.037,21.896,27.504,28.132,23.274,23.568,25.420
60,24.397,23.685,26.453,29.964,29.178,23.642,25.267,25.740,28.023,20.748,29.231,18.911,23.952,19.300,40.383,24.988,24.877,22.644,26.033,21.927,27.586,28.208,23.331,23.632,25.446
61,24.389,23.687,26.463,29.948,29.185,23.621,25.256,25.780,27.969,20.599,29.224,18.922,23.976,19.340,40.353,24.996,24.898,22.627,25.999,21.925,27.564,28.214,23.318,23.640,25.480
62,24.354,23.657,26.418,29.933,29.121,23.583,25.250,25.703,27.942,20.467,29.151,18.906,23.965,19.317,40.338,24.919,24.807,22.555,25.938,21.917,27.514,28.156,23.279,23.630,25.406
63,24.363,23.690,26.444,29.948,29.166,23.571,25.247,25.796,27.958,20.428,29.173,18.908,23.993,19.336,40.372,24.977,24.834,22.610,26.024,21.933,27.542,28.178,23.302,23.643,25.453
64,24.421,23.693,26.486,29.948,29.190,23.616,25.261,25.776,27.935,20.435,29.205,18.922,24.010,19.323,40.416,25.002,24.837,22.614,26.026,21.953,27.558,28.158,23.339,23.658,25.504
65,24.392,23.682,26.442,29.901,29.183,23.617,25.267,25.751,27.966,20.383,29.169,18.925,24.017,19.374,40.402,24.968,24.848,22.595,25.991,21.912,27.560,28.199,23.307,23.659,25.440
66,24.351,23.692,26.434,29.902,29.155,23.608,25.206,25.730,27.913,20.367,29.110,18.918,24.002,19.320,40.329,24.947,24.775,22.541,25.969,21.918,27.521,28.147,23.277,23.624,25.420
67,24.369,23.688,26.425,29.856,29.163,23.542,25.253,25.724,27.920,20.367,29.114,18.926,23.978,19.363,40.392,24.973,24.797,22.660,25.952,21.910,27.538,28.184,23.323,23.652,25.440
68,24.371,23.676,26.431,29.895,29.142,23.548,25.220,25.728,27.992,20.333,29.142,18.923,24.009,19.424,40.384,24.933,24.812,22.741,25.953,21.931,27.605,28.173,23.311,23.618,25.406
69,24.345,23.663,26.434,29.900,29.137,23.567,25.216,25.727,27.959,20.273,29.131,18.930,24.023,19.372,40.316,24.944,24.843,22.679,25.999,21.904,27.723,28.183,23.313,23.596,25.421
70,24.339,23.696,26.419,29.909,29.085,23.668,25.209,25.722,27.945,20.182,29.079,18.938,23.941,19.372,40.351,24.882,24.863,22.624,25.903,21.861,27.652,28.130,23.265,23.577,25.412
71,24.399,23.649,26.444,29.888,29.128,23.659,25.250,25.688,27.931,20.202,29.128,18.937,23.934,19.370,40.352,24.924,24.817,22.597,25.933,21.896,27.642,28.202,23.247,23.588,25.451
72,24.355,23.671,26.371,29.832,29.138,23.621,25.211,25.715,27.892,20.135,29.114,18.919,23.931,19.389,40.272,24.906,24.776,22.559,25.834,21.870,27.609,28.181,23.251,23.559,25.376
73,24.324,23.659,26.366,29.865,29.160,23.601,25.219,25.710,27.888,20.112,29.097,18.902,23.956,19.316,40.295,24.900,24.817,22.566,25.880,21.888,27.597,28.158,23.294,23.616,25.417
74,24.330,23.653,26.387,29.848,29.140,23.588,25.209,25.683,27.896,20.133,29.140,18.938,23.962,19.380,40.283,24.868,24.791,22.552,25.931,21.879,27.576,28.152,23.233,23.610,25.419
75,24.315,23.622,26.374,29.815,29.112,23.571,25.196,25.661,27.839,20.133,29.081,18.882,23.917,19.349,40.298,24.836,24.730,22.553,25.863,21.848,27.536,28.127,23.274,23.581,25.340
76,24.321,23.637,26.381,29.834,29.121,23.589,25.201,25.684,27.870,20.183,29.139,18.915,23.977,19.344,40.315,24.907,24.814,22.546,25.902,21.921,27.525,28.168,23.249,23.595,25.380
77,24.312,23.623,26.336,29.780,29.081,23.526,25.197,25.720,27.824,20.106,29.066,18.894,23.933,19.335,40.277,24.870,24.741,22.532,25.842,21.853,27.469,28.127,23.252,23.554,25.370
78,24.292,23.626,26.295,29.799,29.101,23.510,25.152,25.666,27.841,20.043,29.053,18.841,23.831,19.270,40.248,24.884,24.738,22.501,25.806,21.789,27.459,28.082,23.230,23.474,25.367
79,24.260,23.540,26.313,29.766,29.008,23.515,25.127,25.632,27.806,19.977,29.027,18.842,23.876,19.281,40.184,24.829,24.721,22.479,25.795,21.818,27.413,28.071,23.218,23.505,25.319
80,24.249,23.519,26.306,29.704,29.026,23.513,25.146,25.629,27.825,20.024,28.981,18.826,23.852,19.279,40.198,24.817,24.691,22.491,25.772,21.784,27.383,28.072,23.158,23.486,25.298
81,24.252,23.516,26.352,29.720,29.010,23.483,25.066,25.551,27.839,20.083,29.053,18.836,23.825,19.268,40.181,24.812,24.655,22.549,25.820,21.784,27.365,28.044,23.177,23.459,25.285
82,24.232,23.538,26.289,29.704,28.995,23.529,25.070,25.568,27.757,20.066,28.978,18.822,23.787,19.225,40.142,24.785,24.650,22.530,25.743,21.749,27.347,27.978,23.137,23.441,25.260
83,24.224,23.538,26.274,29.706,28.984,23.492,25.096,25.558,27.731,20.024,28.991,18.809,23.767,19.196,40.137,24.831,24.607,22.482,25.751,21.774,27.332,28.028,23.169,23.448,25.300
84,24.179,23.502,26.291,29.719,28.996,23.469,25.074,25.570,27.741,20.084,28.948,18.817,23.834,19.275,40.157,24.787,24.647,22.483,25.732,21.727,27.338,28.038,23.131,23.447,25.288
85,24.186,23.506,26.305,29.727,29.003,23.435,25.075,25.563,27.730,19.993,28.928,18.785,23.817,19.218,40.163,24.805,24.636,22.468,25.749,21.743,27.316,28.040,23.136,23.439,25.262
86,24.230,23.529,26.349,29.711,29.034,23.474,25.095,25.615,27.766,20.001,28.974,18.807,23.820,19.260,40.169,24.827,24.669,22.487,25.763,21.790,27.345,28.008,23.148,23.503,25.299
87,24.232,23.545,26.336,29.736,29.012,23.485,25.142,25.571,27.768,19.936,28.933,18.830,23.807,19.270,40.175,24.833,24.636,22.456,25.711,21.792,27.344,28.064,23.186,23.469,25.283
88,24.268,23.538,26.284,29.729,29.018,23.437,25.130,25.578,27.741,19.970,28.981,18.844,23.820,19.248,40.188,24.840,24.630,22.523,25.732,21.785,27.442,28.050,23.170,23.454,25.326
89,24.213,23.561,26.266,29.727,29.014,23.428,25.080,25.591,27.758,19.948,28.964,18.845,23.777,19.224,40.194,24.829,24.599,22.486,25.701,21.783,27.498,28.073,23.184,23.472,25.261
90,24.228,23.527,26.337,29.728,29.045,23.448,25.085,25.573,27.728,19.925,28.948,18.818,23.810,19.249,40.175,24.843,24.696,22.591,25.748,21.781,27.429,28.024,23.148,23.422,25.233
91,24.236,23.529,26.302,29.714,29.037,23.469,25.135,25.621,27.710,19.928,28.964,18.828,23.815,19.278,40.210,24.835,24.727,22.656,25.759,21.797,27.410,28.044,23.221,23.462,25.297
92,24.305,23.595,26.268,29.702,29.043,23.443,25.081,25.614,27.697,19.902,28.937,18.805,23.802,19.255,40.198,24.826,24.681,22.592,25.732,21.768,27.385,28.072,23.187,23.468,25.299
93,24.204,23.562,26.320,29.683,29.022,23.382,25.105,25.605,27.761,19.908,28.920,18.791,23.754,19.205,40.182,24.806,24.721,22.521,25.763,21.758,27.377,28.046,23.145,23.411,25.284
94,24.172,23.550,26.331,29.716,28.986,23.419,25.089,25.607,27.780,19.835,28.908,18.785,23.760,19.253,40.145,24.812,24.713,22.491,25.723,21.767,27.361,28.004,23.178,23.436,25.285
95,24.223,23.563,26.324,29.720,28.968,23.434,25.093,25.588,27.745,19.886,28.923,18.792,23.773,19.239,40.174,24.794,24.700,22.494,25.738,21.774,27.348,28.035,23.185,23.407,25.273
96,24.190,23.510,26.341,29.693,28.984,23.444,25.087,25.565,27.712,19.849,28.906,18.787,23.754,19.205,40.138,24.801,24.693,22.499,25.716,21.769,27.406,28.010,23.161,23.414,25.262
97,24.164,23.504,26.271,29.713,28.984,23.379,25.083,25.576,27.729,19.810,28.890,18.792,23.755,19.238,40.102,24.771,24.670,22.453,25.651,21.758,27.404,28.021,23.131,23.413,25.214
98,24.236,23.539,26.255,29.682,28.966,23.395,25.036,25.585,27.645,19.810,28.883,18.780,23.772,19.187,40.063,24.803,24.638,22.415,25.654,21.733,27.366,27.989,23.137,23.437,25.246
99,24.162,23.482,26.165,29.638,28.969,23.331,25.011,25.529,27.650,19.731,28.845,18.745,23.721,19.206,40.036,24.733,24.582,22.388,25.611,21.709,27.286,27.977,23.078,23.407,25.214
100,24.215,23.487,26.154,29.618,28.973,23.376,25.020,25.548,27.612,19.754,28.874,18.737,23.748,19.162,40.040,24.743,24.583,22.410,25.595,21.663,27.275,27.945,23.071,23.367,25.227
101,24.106,23.477,26.146,29.623,28.911,23.351,25.040,25.530,27.595,19.740,28.847,18.722,23.714,19.165,40.011,24.699,24.571,22.401,25.571,21.671,27.243,27.915,23.040,23.377,25.172
102,24.152,23.465,26.164,29.619,28.926,23.345,25.008,25.537,27.583,19.745,28.864,18.742,23.743,19.146,40.041,24.750,24.557,22.381,25.571,21.692,27.293,28.015,23.094,23.322,25.161
103,24.162,23.434,26.190,29.642,28.938,23.331,25.036,25.536,27.621,19.756,28.863,18.763,23.723,19.172,39.993,24.701,24.529,22.416,25.621,21.662,27.311,27.959,23.057,23.359,25.151
104,24.124,23.404,26.206,29.668,28.962,23.384,25.036,25.557,27.621,19.759,28.885,18.780,23.710,19.208,40.017,24.730,24.564,22.378,25.629,21.687,27.412,27.956,23.079,23.388,25.198
105,24.153,23.426,26.152,29.643,28.963,23.398,25.028,25.499,27.573,19.728,28.868,18.733,23.693,19.142,39.978,24.662,24.547,22.354,25.556,21.657,27.371,27.911,23.030,23.329,25.155
