 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22
2349,20.048,13.895,17.157,13.494,14.087,21.391,24.246,25.410,24.833,22.466,33.327,33.481,29.756,24.468,25.217,24.984,23.969,21.886,33.506,23.360,25.065,21.502
2350,20.033,13.922,17.111,13.512,14.097,21.386,24.250,25.338,24.773,22.464,33.376,33.467,29.740,24.451,25.193,24.955,23.913,21.873,33.630,23.424,25.062,21.499
2351,20.066,13.878,17.146,13.518,14.081,21.349,24.245,25.356,24.778,22.464,33.306,33.435,29.749,24.456,25.190,24.970,23.991,21.883,33.573,23.371,25.036,21.496
2352,20.049,13.883,17.090,13.513,14.092,21.315,24.235,25.328,24.775,22.446,33.289,33.469,29.729,24.457,25.205,24.966,23.912,21.864,33.567,23.357,25.031,21.488
2353,20.046,13.866,17.086,13.458,14.081,21.262,24.236,25.363,24.822,22.453,33.301,33.456,29.731,24.453,25.277,24.938,23.920,21.875,33.641,23.377,25.037,21.484
2354,20.052,13.927,17.148,13.506,14.104,21.308,24.224,25.361,24.822,22.466,33.307,33.450,29.750,24.463,25.300,24.993,23.918,21.868,33.537,23.376,25.023,21.497
2355,20.048,13.919,17.160,13.515,14.087,21.316,24.251,25.414,24.848,22.474,33.346,33.499,29.776,24.483,25.270,24.980,23.963,21.890,33.623,23.399,25.090,21.524
2356,20.066,13.951,17.139,13.520,14.140,21.299,24.273,25.395,24.868,22.489,33.320,33.481,29.803,24.480,25.263,25.017,23.979,21.910,33.596,23.442,25.106,21.536
2357,20.082,13.954,17.129,13.531,14.130,21.354,24.286,25.422,24.837,22.502,33.382,33.504,29.804,24.487,25.258,25.076,23.965,21.914,33.574,23.436,25.095,21.544
2358,20.053,13.928,17.130,13.511,14.105,21.315,24.267,25.384,24.797,22.455,33.306,33.448,29.761,24.455,25.200,24.986,23.934,21.832,33.535,23.354,25.071,21.502
2359,20.075,13.933,17.136,13.520,14.110,21.311,24.258,25.387,24.888,22.477,33.380,33.484,29.798,24.478,25.243,25.005,23.980,21.894,33.581,23.375,25.072,21.530
2360,20.024,13.913,17.076,13.504,14.034,21.299,24.236,25.371,24.786,22.451,33.336,33.421,29.731,24.449,25.165,24.949,23.926,21.866,33.508,23.376,25.017,21.483
2361,20.025,13.900,17.096,13.499,14.079,21.296,24.221,25.400,24.796,22.470,33.292,33.403,29.737,24.417,25.202,24.995,23.920,21.847,33.493,23.395,25.029,21.484
2362,20.027,13.902,17.087,13.479,14.080,21.304,24.228,25.366,24.821,22.467,33.290,33.399,29.771,24.445,25.202,24.997,23.934,21.885,33.489,23.408,25.045,21.488
2363,20.038,13.925,17.134,13.524,14.093,21.289,24.236,25.399,24.845,22.472,33.320,33.424,29.721,24.427,25.201,24.931,23.919,21.836,33.472,23.409,25.016,21.488
