Time(s),AnalogIn-1,AnalogIn-2,AnalogIn-3,AnalogIn-4,Sequence,TTL-1,TTL-2,TTL-3,TTL-4,AnalogOut-1,AnalogOut-2,AnalogOut-3,AnalogOut-4
0.402941,1.44566,7.16575,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.40563,1.44566,7.15033,2.49947,2.4987,1,0,0,0,0,0,0,0,0,
0.40831,1.44566,7.12333,2.49947,2.4987,1,0,0,0,0,0,0,0,0,
0.410998,1.44566,7.13614,2.49947,2.4987,1,0,0,0,0,0,0,0,0,
0.413686,1.44566,7.15354,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.416375,1.44566,7.17917,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.419055,1.44566,7.16437,2.49947,2.4987,1,0,0,0,0,0,0,0,0,
0.421743,1.44566,7.15201,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.424431,1.44566,7.13416,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.42712,1.44566,7.13218,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.4298,1.44566,7.14881,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.432488,1.44566,7.15323,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.435176,1.44566,7.18268,2.49947,2.4987,1,0,0,0,0,0,0,0,0,
0.437865,1.44566,7.14881,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.440545,1.44566,7.13294,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.443233,1.44566,7.12577,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.445921,1.44566,7.15537,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.44861,1.44566,7.16727,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.45129,1.44566,7.1807,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.453978,1.44566,7.15323,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.456666,1.44566,7.14682,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.459355,1.44566,7.13233,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.462035,1.44566,7.14026,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.464723,1.44566,7.15125,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.467411,1.44566,7.18162,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.4701,1.44566,7.16636,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.472779,1.44566,7.13538,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.475467,1.44566,7.12577,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.478155,1.44566,7.14026,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.480844,1.44566,7.16315,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.483525,1.44566,7.16788,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.486213,1.44566,7.16391,2.49947,2.4987,1,0,0,0,0,0,0,0,0,
0.488901,1.44566,7.14698,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.49159,1.44566,7.13141,2.49947,2.4987,1,0,0,0,0,0,0,0,0,
0.49427,1.44566,7.13858,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.496958,1.44566,7.14423,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.499646,1.44566,7.15979,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.502335,1.44566,7.17139,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.505015,1.44566,7.15049,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.507703,1.44566,7.13507,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.510391,1.44566,7.12867,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.51308,1.44566,7.14911,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.515759,1.44566,7.1691,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.518447,1.44566,7.17551,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.521135,1.44566,7.1572,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.523824,1.44566,7.13294,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.526504,1.44566,7.1221,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.529192,1.44566,7.15033,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.53188,1.44566,7.15979,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.534569,1.44566,7.17353,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.537249,1.44566,7.16117,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.539937,1.44566,7.13843,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.542625,1.44566,7.13492,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.545314,1.44566,7.14774,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.547995,1.44566,7.16147,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.550683,1.44566,7.17292,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.553371,1.44566,7.16681,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.55606,1.44566,7.13187,2.49947,2.4987,1,0,0,0,0,0,0,0,0,
0.558739,1.44566,7.13553,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.561427,1.44566,7.13324,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.564115,1.44566,7.15094,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.566804,1.44566,7.17414,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.569484,1.44566,7.16849,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.572172,1.44566,7.14927,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.57486,1.44566,7.12836,2.49947,2.4987,1,0,0,0,0,0,0,0,0,
0.577549,1.44566,7.13614,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.580229,1.44566,7.14331,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.582917,1.44566,7.15903,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.585605,1.44566,7.17429,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.588294,1.44566,7.14301,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.590974,1.44566,7.1308,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.593662,1.44566,7.12073,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.59635,1.44566,7.14667,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.599039,1.44566,7.16605,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.601719,1.44566,7.1688,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.604407,1.44566,7.154,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.607095,1.44566,7.13431,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.609784,1.44566,7.12836,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.612464,1.44566,7.13523,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.615152,1.44566,7.16071,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.61784,1.44566,7.17582,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.620529,1.44566,7.14606,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.623209,1.44566,7.13157,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.625897,1.44566,7.1308,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.628585,1.44566,7.1485,2.49947,2.4987,1,0,0,0,0,0,0,0,0,
0.631274,1.44566,7.15766,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.633954,1.44566,7.16712,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.636642,1.44566,7.16285,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.63933,1.44566,7.14377,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.642019,1.44566,7.13111,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.644699,1.44566,7.13828,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.647387,1.44566,7.15522,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.650075,1.44566,7.17002,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.652764,1.44566,7.16498,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.655444,1.44566,7.14927,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.658132,1.44566,7.13004,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.66082,1.44566,7.1305,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
0.663509,1.44566,7.14454,2.49947,2.49886,1,0,0,0,0,0,0,0,0,
