# time, t1_s1_1_f1, t1_s1_2_f1, t1_s1_3_f1, t2_s1_1_f1, t2_s1_2_f1, t2_s1_3_f1, t3_s1_1_f1, t3_s1_2_f1, t3_s1_3_f1
4.28115,1.12443,1.15798,1.54507,1.85803,1.94354,1.07577,1.03274,1.08654,1.11403
4.29308,1.12627,1.15646,1.53775,1.84995,1.95865,1.08024,1.03488,1.08285,1.11657
4.30500,1.12914,1.15633,1.53269,1.84266,1.97700,1.08462,1.03613,1.07963,1.11697
4.31692,1.12924,1.15784,1.52722,1.83784,1.99652,1.08795,1.03738,1.07673,1.11699
4.32885,1.12956,1.16218,1.52207,1.83630,2.01729,1.09098,1.03858,1.07378,1.11571
4.34077,1.12971,1.16724,1.51835,1.83538,2.03787,1.09352,1.03997,1.07090,1.11320
4.35270,1.12944,1.17280,1.51374,1.83611,2.05689,1.09546,1.04023,1.06920,1.11079
4.36462,1.12822,1.17749,1.51092,1.83822,2.07370,1.09740,1.04105,1.06798,1.10799
4.37654,1.12819,1.18250,1.50906,1.84249,2.08905,1.09923,1.04164,1.06775,1.10619
4.38847,1.12873,1.18714,1.50522,1.84773,2.10002,1.10233,1.04260,1.06839,1.10503
4.40039,1.13056,1.19033,1.50240,1.85357,2.11408,1.10398,1.04221,1.07095,1.10411
4.41232,1.13340,1.19124,1.49952,1.85883,2.12349,1.10836,1.04276,1.07402,1.10431
4.42424,1.13778,1.19154,1.49641,1.86442,2.13100,1.11177,1.04214,1.07976,1.10523
4.43616,1.14504,1.19045,1.49268,1.87089,2.13803,1.11558,1.04031,1.08642,1.10651
4.44809,1.15268,1.18823,1.49009,1.87671,2.13998,1.11913,1.03844,1.09473,1.10867
4.46001,1.16239,1.18591,1.48720,1.88395,2.13994,1.12220,1.03620,1.10410,1.10986
4.47194,1.17298,1.18336,1.48369,1.88951,2.13881,1.12582,1.03309,1.11414,1.11118
4.48386,1.18177,1.17986,1.48151,1.89305,2.13721,1.12722,1.03010,1.12418,1.11172
4.49578,1.19363,1.17729,1.48184,1.89541,2.13150,1.12882,1.02608,1.13346,1.11251
4.50771,1.20259,1.17496,1.48214,1.89828,2.12466,1.12910,1.02326,1.14147,1.11192
4.51963,1.21093,1.17228,1.48565,1.89968,2.11508,1.12883,1.02000,1.14736,1.11152
4.53155,1.21695,1.17027,1.48870,1.89849,2.10547,1.12923,1.01856,1.15081,1.11028
4.54348,1.22067,1.16841,1.49287,1.89802,2.09570,1.12940,1.01703,1.15167,1.10854
