# time, t1_s1_1_f1, t1_s1_2_f1, t1_s1_3_f1, t2_s1_1_f1, t2_s1_2_f1, t2_s1_3_f1, t3_s1_1_f1, t3_s1_2_f1, t3_s1_3_f1
3.39878,432.22222,443.11111,445.20000,353.12500,380.12500,710.71429,1243.66667,1140.22222,1081.50000
3.41071,431.44444,442.66667,445.10000,351.87500,381.00000,709.28571,1244.55556,1139.22222,1078.90000
3.42263,430.22222,442.33333,444.90000,350.87500,381.75000,708.00000,1245.44444,1138.77778,1076.60000
3.43456,429.22222,442.44444,444.70000,350.00000,382.50000,706.71429,1245.66667,1138.88889,1074.70000
3.44648,428.11111,442.55556,444.90000,349.12500,383.12500,705.71429,1245.88889,1139.44444,1072.60000
3.45840,426.77778,442.88889,444.70000,348.62500,383.75000,704.71429,1245.11111,1140.55556,1070.80000
3.47033,425.77778,443.22222,444.40000,348.37500,384.25000,704.00000,1243.88889,1141.55556,1069.00000
3.48225,424.88889,443.77778,444.30000,348.12500,384.25000,703.14286,1242.33333,1143.00000,1067.10000
3.49418,424.44444,444.33333,444.10000,347.87500,384.12500,702.71429,1240.22222,1144.44444,1065.40000
3.50610,423.66667,444.77778,444.00000,347.75000,383.75000,702.42857,1238.22222,1145.33333,1063.30000
3.51802,423.44444,445.00000,443.80000,347.50000,383.25000,702.14286,1235.55556,1146.11111,1061.50000
3.52995,423.22222,445.11111,443.40000,347.12500,382.50000,702.28571,1233.11111,1146.55556,1059.80000
3.54187,423.11111,445.11111,443.00000,347.00000,381.50000,702.00000,1230.33333,1146.88889,1058.20000
3.55379,423.44444,444.77778,442.60000,346.25000,380.75000,702.00000,1227.33333,1146.77778,1056.60000
3.56572,423.33333,444.55556,442.20000,345.62500,379.87500,702.28571,1224.11111,1146.33333,1055.30000
3.57764,423.77778,443.88889,441.50000,344.75000,379.25000,702.28571,1221.00000,1146.00000,1054.00000
3.58957,423.77778,443.33333,440.80000,343.87500,378.37500,702.85714,1217.55556,1145.00000,1053.40000
3.60149,424.22222,442.66667,440.30000,343.12500,377.75000,703.57143,1214.11111,1143.88889,1052.50000
3.61341,424.22222,441.88889,439.80000,342.25000,377.25000,704.14286,1210.66667,1142.77778,1052.30000
3.62534,424.33333,441.11111,439.60000,341.62500,377.12500,705.00000,1207.66667,1141.44444,1052.20000
3.63726,424.66667,440.33333,439.20000,341.00000,377.00000,705.71429,1204.33333,1139.77778,1052.30000
3.64919,424.44444,439.77778,438.90000,340.62500,377.00000,706.57143,1201.33333,1138.00000,1052.50000
3.66111,424.44444,439.00000,439.00000,340.37500,377.12500,707.28571,1198.66667,1136.22222,1052.60000
3.67303,424.33333,438.55556,439.00000,340.25000,377.12500,708.14286,1196.22222,1133.88889,1052.90000
3.68496,424.00000,437.88889,439.20000,340.12500,377.12500,708.42857,1194.22222,1132.11111,1052.70000
3.69688,423.66667,437.33333,439.50000,340.12500,377.12500,708.85714,1192.33333,1130.00000,1052.20000
3.70881,423.55556,436.66667,439.50000,340.00000,377.00000,709.28571,1190.44444,1128.66667,1051.10000
3.72073,423.00000,436.22222,439.90000,340.00000,376.75000,709.28571,1188.88889,1127.11111,1049.50000
3.73265,422.77778,435.77778,440.30000,339.75000,376.25000,709.42857,1187.22222,1126.11111,1047.50000
3.74458,422.44444,435.44444,440.60000,339.75000,376.00000,709.71429,1185.77778,1125.66667,1045.00000
3.75650,422.44444,435.11111,441.10000,339.62500,375.25000,710.00000,1184.00000,1125.11111,1042.00000
3.76843,422.55556,435.00000,441.70000,339.62500,374.75000,710.57143,1182.66667,1124.66667,1038.80000
3.78035,422.66667,435.11111,442.40000,339.50000,374.25000,711.14286,1181.00000,1124.44444,1035.70000
3.79227,422.88889,435.11111,443.10000,339.75000,373.37500,712.14286,1179.33333,1123.66667,1032.80000
3.80420,423.00000,435.66667,444.00000,340.12500,372.75000,713.14286,1177.88889,1122.66667,1030.30000
3.81612,423.44444,435.88889,445.00000,340.62500,372.25000,714.28571,1176.11111,1121.33333,1028.10000
3.82804,423.55556,436.11111,446.10000,341.37500,372.00000,715.42857,1174.77778,1119.33333,1026.50000
3.83997,423.88889,436.66667,446.90000,342.00000,371.62500,716.42857,1173.66667,1117.11111,1025.50000
3.85189,423.88889,436.88889,447.50000,342.87500,371.25000,716.85714,1172.66667,1114.88889,1024.80000
3.86382,423.77778,437.00000,447.90000,343.50000,371.25000,717.00000,1171.66667,1112.55556,1024.30000
3.87574,423.55556,436.88889,447.90000,344.25000,371.25000,716.71429,1171.22222,1110.44444,1024.50000
3.88766,423.33333,436.77778,447.60000,344.62500,371.37500,716.00000,1170.66667,1108.66667,1025.00000
3.89959,422.44444,436.55556,447.30000,344.87500,371.50000,714.57143,1170.11111,1107.44444,1025.20000
3.91151,421.77778,436.33333,446.30000,344.87500,371.87500,712.85714,1169.66667,1106.66667,1025.30000
3.92344,421.00000,436.00000,445.30000,344.75000,372.25000,710.71429,1169.00000,1106.22222,1025.10000
3.93536,420.33333,435.77778,444.30000,344.62500,373.00000,708.42857,1168.44444,1105.77778,1024.60000
3.94728,419.22222,435.44444,442.90000,344.37500,373.25000,706.14286,1167.66667,1105.55556,1023.70000
