# time, t1_s1_1_f1, t1_s1_2_f1, t1_s1_3_f1, t2_s1_1_f1, t2_s1_2_f1, t2_s1_3_f1, t3_s1_1_f1, t3_s1_2_f1, t3_s1_3_f1
3.82804,464.55556,525.00000,679.30000,641.50000,766.62500,808.57143,1170.00000,1217.88889,1113.80000
3.83997,463.55556,522.00000,677.70000,644.12500,764.25000,808.00000,1166.55556,1217.33333,1113.30000
3.85189,463.22222,519.00000,677.00000,647.25000,761.87500,806.57143,1164.11111,1216.88889,1113.20000
3.86382,463.22222,515.77778,677.00000,650.25000,759.12500,804.57143,1162.88889,1216.33333,1113.10000
3.87574,463.33333,513.00000,677.50000,653.25000,756.37500,802.14286,1163.00000,1215.33333,1112.60000
3.88766,464.22222,509.77778,678.30000,656.37500,754.12500,799.71429,1163.88889,1214.22222,1112.30000
3.89959,465.22222,506.66667,679.40000,659.00000,752.12500,797.00000,1165.55556,1212.33333,1111.60000
3.91151,466.55556,503.55556,680.00000,661.37500,750.87500,794.28571,1167.33333,1210.22222,1110.50000
3.92344,467.88889,500.66667,680.60000,662.87500,750.50000,791.85714,1169.00000,1207.66667,1108.60000
3.93536,468.88889,497.77778,680.70000,663.75000,751.00000,789.00000,1170.33333,1205.00000,1106.00000
3.94728,469.66667,495.33333,680.70000,664.12500,752.12500,786.42857,1171.00000,1201.88889,1102.70000
3.95921,469.88889,492.77778,680.60000,664.12500,754.12500,783.85714,1171.55556,1199.22222,1098.90000
3.97113,469.44444,490.66667,680.40000,663.25000,756.50000,781.14286,1171.44444,1196.88889,1095.00000
3.98306,468.44444,489.44444,679.80000,662.37500,759.25000,778.00000,1171.11111,1195.55556,1091.70000
3.99498,466.88889,488.55556,679.70000,661.12500,762.50000,774.57143,1170.66667,1195.11111,1088.60000
4.00690,465.11111,488.22222,679.60000,659.62500,765.87500,770.85714,1170.22222,1195.77778,1086.70000
4.01883,462.66667,488.88889,679.30000,658.50000,769.50000,766.71429,1170.22222,1196.88889,1085.70000
