X,Y
195,175.504
196,177.122
197,166.305
198,175.527
199,194.458
200,178.504
201,169.107
202,164.282
203,178.053
204,157.580
205,177.305
206,169.443
207,175.397
208,163.702
209,167.977
210,178.405
211,181.763
212,173.206
213,171.985
214,190.244
215,174.282
216,178.237
217,182.863
218,167.947
219,161.420
220,169.817
221,168.863
222,174.275
223,169.435
224,184.336
225,167.053
226,188.939
227,175.405
228,176.893
229,181.069
230,177.634
231,187.122
232,174.351
233,175.160
234,199.672
235,243.313
236,257.809
237,222.168
238,216.649
239,230.763
240,253.611
241,228.832
242,238.397
243,239.374
244,246.977
245,247.893
246,217.817
247,222.939
248,217.542
249,237.450
250,281.695
251,267.679
252,263.947
253,291.328
254,286.878
255,291.237
256,266.344
257,269.695
258,296.931
259,286.985
260,253.092
261,295.916
262,292.832
263,280.183
264,287.924
265,300.885
266,337.725
267,345.153
268,340.107
269,328.359
270,330.107
271,296.183
272,313.137
273,303.031
274,319.420
275,311.229
276,339.901
277,304.771
278,341.847
279,328.626
280,326.191
281,336.328
282,369.557
283,387.206
284,375.565
285,357.305
286,359.534
287,389.107
288,393.786
289,367.382
290,364.267
291,365.924
292,356.443
293,352.626
294,373.038
295,360.153
296,376.267
297,423.649
298,428.794
299,426.748
300,404.214
301,412.885
302,424.176
303,387.275
304,394.725
305,407.534
306,417.008
307,400.733
308,412.817
309,412.855
310,400.611
311,414.947
312,380.168
313,408.969
314,416.908
315,422.435
316,386.855
317,413.183
318,386.382
319,418.198
320,391.046
321,392.733
322,419.176
323,429.725
324,398.534
325,401.176
326,400.229
327,412.779
328,394.969
329,402.099
330,373.466
331,385.511
332,394.794
333,383.137
334,388.359
335,390.802
336,406.412
337,386.000
338,399.069
339,365.771
340,388.550
341,394.908
342,377.183
343,393.176
344,378.374
345,381.656
346,364.855
347,401.771
348,390.198
349,384.229
350,391.115
351,403.489
352,414.580
353,397.053
354,371.076
355,407.565
356,381.214
357,394.802
358,369.542
359,363.557
360,371.496
361,385.893
362,362.344
363,378.481
364,371.160
365,390.595
366,387.748
367,361.817
368,378.092
369,364.931
370,349.137
371,352.206
372,348.435
373,370.702
374,387.061
375,375.824
376,344.260
377,344.321
378,391.794
379,357.069
380,367.435
381,367.939
382,367.198
383,362.351
384,357.641
385,370.214
386,350.771
387,365.542
388,367.573
389,353.679
390,374.977
391,361.473
392,366.496
393,373.176
394,341.214
395,341.351
396,343.252
397,329.137
398,362.954
399,361.641
400,333.031
401,351.962
402,329.878
403,345.878
404,364.336
405,365.275
406,336.733
407,346.740
408,360.740
409,341.481
410,350.008
411,356.519
412,337.809
413,381.084
414,340.695
415,342.359
416,346.099
417,352.137
418,319.046
419,323.351
420,337.511
421,349.969
422,334.443
423,344.244
424,340.008
425,348.115
426,321.611
427,321.168
428,331.214
429,343.824
430,336.931
431,334.626
432,346.031
433,340.397
434,339.489
435,328.756
436,312.634
437,322.931
438,335.748
439,322.374
440,336.504
441,349.344
442,331.008
443,320.840
444,346.832
445,315.313
446,338.275
447,319.198
448,321.885
449,285.832
450,310.641
451,319.115
452,303.061
453,318.427
454,297.924
455,287.664
456,337.550
457,322.115
458,321.191
459,306.496
460,309.153
461,323.443
462,330.427
463,304.847
464,318.878
465,333.313
466,304.870
467,323.710
468,314.290
469,318.779
470,316.061
471,316.053
472,306.443
473,321.511
474,324.107
475,285.244
476,319.153
477,305.573
478,315.168
479,298.618
480,302.046
481,310.115
482,288.672
483,334.489
484,320.351
485,313.214
486,288.374
487,288.756
488,284.939
489,278.954
490,302.458
491,308.031
492,288.130
493,286.031
494,284.832
495,306.779
496,295.603
497,309.160
498,290.847
499,295.855
500,294.046
501,288.198
502,282.053
503,290.504
504,280.725
505,281.160
506,289.321
507,273.901
508,278.748
509,281.634
510,285.160
511,297.763
512,278.618
513,287.244
514,303.336
515,283.344
516,300.802
517,304.092
518,283.733
519,259.481
520,267.672
521,294.779
522,249.504
523,271.198
524,291.031
525,301.214
526,292.145
527,268.137
528,266.389
529,278.061
530,283.916
531,285.046
532,267.924
533,272.656
534,274.282
535,280.542
536,270.305
537,264.519
538,271.954
539,304.076
540,268.626
541,251.786
542,295.366
543,296.015
544,267.794
545,269.122
546,282.618
547,286.176
548,279.733
549,257.160
550,245.534
551,271.954
552,242.275
553,265.481
554,254.603
555,277.725
556,295.237
557,280.115
558,280.435
559,264.450
560,267.405
561,255.809
562,259.023
563,259.916
564,281.183
565,257.817
566,265.450
567,257.282
568,259.534
569,279.809
570,252.206
571,250.145
572,279.336
573,259.962
574,256.580
575,242.908
576,274.893
577,259.641
578,276.634
579,263.710
580,254.756
581,257.893
582,281.725
583,237.916
584,252.198
585,254.740
586,241.664
587,271.244
588,252.069
589,233.496
590,254.473
591,275.954
592,253.122
593,244.641
594,265.557
595,257.588
596,238.229
597,241.053
598,250.939
599,244.107
600,267.344
601,234.939
602,256.466
603,252.710
604,257.992
605,241.328
606,246.046
607,242.687
608,244.794
609,249.084
610,260.573
611,248.359
612,254.435
613,248.000
614,243.198
615,250.916
616,271.748
617,243.679
618,247.466
619,236.542
620,250.672
