time, dGoR #1, dGoR #2, dGoR #3, dGoR #4, dGoR #5, dGoR #6, dGoR #7, dGoR #8, dGoR #9, dGoR #10, dGoR #11, dGoR #12, dGoR #13, dGoR #14, dGoR #15, average
2.98145, 0.28575, 0.45554, 0.37121, 0.36427, 0.41312, 0.41626, 0.38318, 0.32359, 0.35595, 0.37691, 0.36075, 0.35373, 0.36705, 0.36137, 0.44920, 0.37586, 
2.99337, 0.41919, 0.33942, 0.36349, 0.37615, 0.37683, 0.36760, 0.36061, 0.36457, 0.37330, 0.31789, 0.35839, 0.32045, 0.37856, 0.33747, 0.35999, 0.36093, 
3.00530, 0.34843, 0.37433, 0.46079, 0.41363, 0.38153, 0.38661, 0.38026, 0.35808, 0.40379, 0.41665, 0.41565, 0.44191, 0.33610, 0.32241, 0.35092, 0.38607, 
3.01722, 0.41468, 0.39811, 0.42195, 0.38584, 0.32929, 0.35956, 0.35396, 0.38523, 0.37458, 0.38278, 0.32486, 0.37323, 0.41609, 0.39911, 0.30483, 0.37494, 
3.02914, 0.40543, 0.41099, 0.40695, 0.40187, 0.41820, 0.36298, 0.38502, 0.38232, 0.41000, 0.36100, 0.36873, 0.37676, 0.36750, 0.32378, 0.35619, 0.38251, 
3.04107, 0.43457, 0.46627, 0.36643, 0.41581, 0.43869, 0.41506, 0.38979, 0.35934, 0.38766, 0.31197, 0.29025, 0.40214, 0.41832, 0.32099, 0.40046, 0.38785, 
3.05299, 0.38460, 0.37234, 0.40401, 0.35322, 0.42642, 0.37927, 0.36620, 0.32070, 0.32242, 0.38559, 0.36221, 0.37981, 0.38178, 0.33679, 0.35556, 0.36873, 
3.06492, 0.39398, 0.37612, 0.41258, 0.37785, 0.44290, 0.37724, 0.40449, 0.35601, 0.36138, 0.36959, 0.33823, 0.37504, 0.40367, 0.36346, 0.41112, 0.38424, 
3.07684, 0.39620, 0.38427, 0.40964, 0.34820, 0.39431, 0.50090, 0.37455, 0.33684, 0.41462, 0.28695, 0.32215, 0.37957, 0.42687, 0.30575, 0.37777, 0.37724, 
3.08876, 0.38064, 0.37427, 0.42786, 0.35911, 0.35517, 0.35062, 0.44425, 0.31364, 0.31624, 0.40159, 0.37819, 0.40075, 0.38905, 0.31871, 0.37652, 0.37244, 
